locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Poznań,os. Przyjaźni 14,2,38,399000,10500,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-poznan-os-przyjazni-2-pokojowe-z6q1p4,https://s2.adresowa.pl/oi/2b/1b/3fbedc_eda3_cover@2x-2-pokojowe-mieszkanie-poznan-os-przyjazni.webp
Poznań Zawady,ul. Nadolnik 8,1,20,324000,16200,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-poznan-zawady-ul-nadolnik-1-pokoj-e1l0g7,https://s2.adresowa.pl/oi/3d/3f/3fb146_c000_cover@2x-1-pokojowe-mieszkanie-poznan-zawady-ul-nadolnik.webp
Poznań Grunwald,ul. Macieja Palacza,2,47,520000,11064,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-macieja-palacza-2-pokojowe-n6g0k6,https://s2.adresowa.pl/oi/15/61/3fbf4e_7361_cover@2x-2-pokojowe-mieszkanie-poznan-grunwald-ul-macieja-palacza.webp
Poznań Strzeszyn,ul. Literacka,2,48,619000,12896,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-poznan-strzeszyn-ul-literacka-2-pokojowe-g7s7r7,https://s2.adresowa.pl/oi/79/3c/3fbe48_6bba_cover@2x-2-pokojowe-mieszkanie-poznan-strzeszyn-ul-literacka.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,2,51,zapytaj,,bez pośredników,,+5 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-2-pokojowe-b3q3j7,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-f918_cover.jpg
Poznań Zawady,ul. Główna,3,42,380000,9048,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-poznan-zawady-ul-glowna-3-pokojowe-a8p4h3,https://s2.adresowa.pl/oi/29/57/3fa7de_acfd_cover@2x-3-pokojowe-mieszkanie-poznan-zawady-ul-glowna.webp
Poznań Zawady,ul. Główna,2,59,449000,7610,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-poznan-zawady-ul-glowna-2-pokojowe-l3v7a9,https://s2.adresowa.pl/oi/26/41/3fa774_d2da_cover@2x-2-pokojowe-mieszkanie-poznan-zawady-ul-glowna.webp
Poznań Centrum,ul. Strzelecka,1,30,529000,17633,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-poznan-centrum-ul-strzelecka-1-pokoj-i9s2s4,https://s2.adresowa.pl/oi/45/14/3fbe3e_cf6e_cover@2x-1-pokojowe-mieszkanie-poznan-centrum-ul-strzelecka.webp
Poznań Winogrady,os. Wichrowe Wzgórze,2,46,499000,10848,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-wichrowe-wzgorze-2-pokojowe-y6p7m2,https://s2.adresowa.pl/oi/28/25/3fbd08_326e_cover@2x-2-pokojowe-mieszkanie-poznan-winogrady-os-wichrowe-wzgorze.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,3,55,zapytaj,,bez pośredników,,+5 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-3-pokojowe-m0z2t5,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-f918_cover.jpg
Poznań Winogrady,os. Zwycięstwa 23,3,47,549000,11681,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-zwyciestwa-3-pokojowe-f5d4d9,https://s2.adresowa.pl/oi/4b/5d/3fa39c_e55d_cover@2x-3-pokojowe-mieszkanie-poznan-winogrady-os-zwyciestwa.webp
Poznań Naramowice,ul. Błażeja 10,3,98,969000,9888,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-poznan-naramowice-ul-blazeja-3-pokojowe-a2o7y9,https://s2.adresowa.pl/oi/55/67/3fa2f4_c879_cover@2x-3-pokojowe-mieszkanie-poznan-naramowice-ul-blazeja.webp
Poznań Piątkowo,os. Bolesława Chrobrego,5,74,667000,9014,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-poznan-piatkowo-os-boleslawa-chrobrego-5-pokojowe-x2o3a7,https://s2.adresowa.pl/oi/41/14/3fbc1c_a79f_cover@2x-5-pokojowe-mieszkanie-poznan-piatkowo-os-boleslawa-chrobrego.webp
Poznań Grunwald,ul. Jutrzenka,3,73,1220000,16712,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-jutrzenka-3-pokojowe-z6j7z7,https://s2.adresowa.pl/oi/13/28/3fb780_b6ee_cover@2x-3-pokojowe-mieszkanie-poznan-grunwald-ul-jutrzenka.webp
Poznań,ul. Królowej Jadwigi,3,60,zapytaj,,bez pośredników,,+52 podobne oferty,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-3-pokojowe-b6v4c0,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań Jeżyce,ul. Juliusza Słowackiego,3,62,675000,10887,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-juliusza-slowackiego-3-pokojowe-t9e5e3,https://s2.adresowa.pl/oi/46/33/3fa2cc_2ef8_cover@2x-3-pokojowe-mieszkanie-poznan-jezyce-ul-juliusza-slowackiego.webp
Poznań Chartowo,os. Tysiąclecia 34,3,62,629000,10145,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-poznan-chartowo-os-tysiaclecia-3-pokojowe-t3m1t2,https://s2.adresowa.pl/oi/62/3c/3f9d2c_4841_cover@2x-3-pokojowe-mieszkanie-poznan-chartowo-os-tysiaclecia.webp
Poznań Nowe Miasto,ul. Smolna,2,46,620000,13478,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-smolna-2-pokojowe-f9i9i7,https://s2.adresowa.pl/oi/44/40/3fb774_7d8f_cover@2x-2-pokojowe-mieszkanie-poznan-nowe-miasto-ul-smolna.webp
Poznań Nowe Miasto,ul. Konińska,3,55,480000,8727,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-koninska-3-pokojowe-c7u3x1,https://s2.adresowa.pl/oi/43/15/3fb694_fc02_cover@2x-3-pokojowe-mieszkanie-poznan-nowe-miasto-ul-koninska.webp
Poznań Starołęka,ul. Unii Lubelskiej,3,51,zapytaj,,bez pośredników,,+6 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-staroleka-ul-unii-lubelskiej-3-pokojowe-c5r9s0,https://s2.adresowa.pl/development/671252/nowe-mieszkania-unii-lubelskiej-vita-b029_cover.jpg
Poznań Starołęka,ul. Wagrowska,2,43,599000,13930,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-poznan-staroleka-ul-wagrowska-2-pokojowe-m7d8r3,https://s2.adresowa.pl/oi/42/76/3f921c_eb6a_cover@2x-2-pokojowe-mieszkanie-poznan-staroleka-ul-wagrowska.webp
Poznań Łazarz,ul. Głogowska 144,2,51,549000,10765,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-poznan-lazarz-ul-glogowska-2-pokojowe-d4x6i2,https://s2.adresowa.pl/oi/74/5e/3f7b20_e56f_cover@2x-2-pokojowe-mieszkanie-poznan-lazarz-ul-glogowska.webp
Poznań Wilda,ul. Romualda Traugutta,3,80,559000,6988,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-romualda-traugutta-3-pokojowe-c6s3h7,https://s2.adresowa.pl/oi/56/55/3fb450_cbf7_cover@2x-3-pokojowe-mieszkanie-poznan-wilda-ul-romualda-traugutta.webp
Poznań Grunwald,ul. Ptasia,3,63,zapytaj,,bez pośredników,,+28 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-ptasia-3-pokojowe-w7g4d1,https://s2.adresowa.pl/development/672144/nowe-mieszkania-ptasia-vita-151e_cover.jpg
Poznań Ogrody,ul. Szpitalna 9,1,36,340000,9444,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-poznan-ogrody-ul-szpitalna-1-pokoj-o7o5b4,https://s2.adresowa.pl/oi/68/3e/3f7112_2a2b_cover@2x-1-pokojowe-mieszkanie-poznan-ogrody-ul-szpitalna.webp
Poznań Grunwald,ul. Piotra Ściegiennego,3,78,679000,8705,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-piotra-sciegiennego-3-pokojowe-b9x9s9,https://s2.adresowa.pl/oi/3d/7e/3f6e58_4a62_cover@2x-3-pokojowe-mieszkanie-poznan-grunwald-ul-piotra-sciegiennego.webp
Poznań,Łazarz,2,56,690000,12321,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-lazarz-2-pokojowe-56-m2-y5q8s2,https://s2.adresowa.pl/oi/76/76/3fb36e_9030_cover@2x-2-pokojowe-mieszkanie-poznan-lazarz.webp
Poznań Grunwald,ul. Galileusza,2,42,469000,11167,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-galileusza-2-pokojowe-k8e6f8,https://s2.adresowa.pl/oi/68/67/3fb1b0_ba4e_cover@2x-2-pokojowe-mieszkanie-poznan-grunwald-ul-galileusza.webp
Poznań,ul. Królowej Jadwigi,1,34,zapytaj,,bez pośredników,,+19 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-1-pokoj-u6z5b0,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań,ul. Jasielska,3,58,760000,13103,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-poznan-ul-jasielska-3-pokojowe-b9w3a2,https://s2.adresowa.pl/oi/31/4b/3f6d0c_2f1e_cover@2x-3-pokojowe-mieszkanie-poznan-ul-jasielska.webp
Poznań,ul. Stanisława Małachowskiego,2,49,550000,11224,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-poznan-ul-stanislawa-malachowskiego-2-pokojowe-u6e7q6,https://s2.adresowa.pl/oi/23/46/3f5f3e_bac1_cover@2x-2-pokojowe-mieszkanie-poznan-ul-stanislawa-malachowskiego.webp
Poznań,Łazarz,1,30,350000,11667,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-poznan-lazarz-1-pokoj-30-m2-b6j8k0,https://s2.adresowa.pl/oi/53/22/3fb124_3562_cover@2x-1-pokojowe-mieszkanie-poznan-lazarz.webp
Poznań Piątkowo,os. Stefana Batorego,3,76,860000,11316,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-poznan-piatkowo-os-stefana-batorego-3-pokojowe-m3o7q6,https://s2.adresowa.pl/oi/5f/12/3fb012_5657_cover@2x-3-pokojowe-mieszkanie-poznan-piatkowo-os-stefana-batorego.webp
Poznań Grunwald,ul. Ptasia,1,30,zapytaj,,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-ptasia-1-pokoj-d4w6i0,https://s2.adresowa.pl/development/672144/nowe-mieszkania-ptasia-vita-151e_cover.jpg
Poznań Nowe Miasto,ul. Polanka,2,55,749000,13618,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-polanka-2-pokojowe-k1r6u4,https://s2.adresowa.pl/oi/2d/36/3f593a_c4c5_cover@2x-2-pokojowe-mieszkanie-poznan-nowe-miasto-ul-polanka.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego 11,3,58,949000,16362,Pośrednik,,26,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-3-pokojowe-m8o7r3,https://s2.adresowa.pl/oi/6b/25/3f5720_6353_cover@2x-3-pokojowe-mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego.webp
Poznań Nowe Miasto,ul. Milczańska,2,44,700000,15909,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-milczanska-2-pokojowe-i9d9y6,https://s2.adresowa.pl/oi/50/49/3faffa_9dc0_cover@2x-2-pokojowe-mieszkanie-poznan-nowe-miasto-ul-milczanska.webp
Poznań Jeżyce,ul. Wincentego Kadłubka,2,45,659000,14644,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-wincentego-kadlubka-2-pokojowe-t1o4q6,https://s2.adresowa.pl/oi/2a/49/3fae40_b2a0_cover@2x-2-pokojowe-mieszkanie-poznan-jezyce-ul-wincentego-kadlubka.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,1,35,zapytaj,,bez pośredników,,+7 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-1-pokoj-u2f4s6,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-f918_cover.jpg
Poznań Jeżyce,ul. Stanisława Staszica,3,87,740000,8506,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-stanislawa-staszica-3-pokojowe-c0c2h5,https://s2.adresowa.pl/oi/24/45/3f46f8_d690_cover@2x-3-pokojowe-mieszkanie-poznan-jezyce-ul-stanislawa-staszica.webp
Poznań Święty Marcin,ul. św. Marcin,2,49,549000,11204,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-poznan-swiety-marcin-ul-sw-marcin-2-pokojowe-h4h2s9,https://s2.adresowa.pl/oi/15/33/3f3dae_81e4_cover@2x-2-pokojowe-mieszkanie-poznan-swiety-marcin-ul-sw-marcin.webp
Poznań Wilda,ul. Przemysłowa,3,59,630000,10678,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-przemyslowa-3-pokojowe-l3t9a0,https://s2.adresowa.pl/oi/29/1c/3fae16_32be_cover@2x-3-pokojowe-mieszkanie-poznan-wilda-ul-przemyslowa.webp
Poznań Łazarz,ul. Lodowa,2,29,399000,13759,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-poznan-lazarz-ul-lodowa-2-pokojowe-m3a8s4,https://s2.adresowa.pl/oi/33/14/3faba8_ea45_cover@2x-2-pokojowe-mieszkanie-poznan-lazarz-ul-lodowa.webp
Poznań,ul. Królowej Jadwigi,4,82,zapytaj,,bez pośredników,,+35 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-4-pokojowe-h9r8j7,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań Winogrady,al. Pod Lipami,3,47,499000,10617,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-poznan-winogrady-al-pod-lipami-3-pokojowe-r2h2f1,https://s2.adresowa.pl/oi/3d/3d/3f3770_e93e_cover@2x-3-pokojowe-mieszkanie-poznan-winogrady-al-pod-lipami.webp
Poznań Rataje,os. Jagiellońskie,3,77,693000,9000,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-poznan-rataje-os-jagiellonskie-3-pokojowe-i1z7u6,https://s2.adresowa.pl/oi/41/58/3f32ae_c5e9_cover@2x-3-pokojowe-mieszkanie-poznan-rataje-os-jagiellonskie.webp
Poznań Grunwald,ul. Śniadeckich,3,102,1190000,11667,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-sniadeckich-3-pokojowe-c7o6n5,https://s2.adresowa.pl/oi/79/36/3faafa_8e61_cover@2x-3-pokojowe-mieszkanie-poznan-grunwald-ul-sniadeckich.webp
Poznań Jeżyce,ul. Wincentego Kadłubka,2,52,569000,10942,bez pośredników,,16,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-wincentego-kadlubka-2-pokojowe-g8q2w2,https://s2.adresowa.pl/oi/53/23/3faae0_baae_cover@2x-2-pokojowe-mieszkanie-poznan-jezyce-ul-wincentego-kadlubka.webp
Poznań Grunwald,ul. Ptasia,4,102,zapytaj,,bez pośredników,,+4 podobne oferty,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-ptasia-4-pokojowe-x3m3w7,https://s2.adresowa.pl/development/672144/nowe-mieszkania-ptasia-vita-151e_cover.jpg
Poznań Junikowo,ul. Jeleniogórska,3,60,969000,16150,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-poznan-junikowo-ul-jeleniogorska-3-pokojowe-v9b1v9,https://s2.adresowa.pl/oi/67/47/3f3162_3de0_cover@2x-3-pokojowe-mieszkanie-poznan-junikowo-ul-jeleniogorska.webp
Poznań,os. Zwycięstwa,3,53,600000,11321,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-poznan-os-zwyciestwa-3-pokojowe-u2n2u4,https://s2.adresowa.pl/oi/7e/64/3f3060_eb8b_cover@2x-3-pokojowe-mieszkanie-poznan-os-zwyciestwa.webp
Poznań Starołęka Mała,ul. Wagrowska,2,33,500000,15152,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-staroleka-mala-ul-wagrowska-2-pokojowe-j7n3m7,https://s2.adresowa.pl/oi/71/62/3faa36_4b20_cover@2x-2-pokojowe-mieszkanie-poznan-staroleka-mala-ul-wagrowska.webp
Poznań Naramowice,ul. Rubież,2,34,480000,14118,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-naramowice-ul-rubiez-2-pokojowe-l2e6x5,https://s2.adresowa.pl/oi/54/2e/3fa626_7cdd_cover@2x-2-pokojowe-mieszkanie-poznan-naramowice-ul-rubiez.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,4,87,zapytaj,,bez pośredników,,+5 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-4-pokojowe-i1n6q1,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-f918_cover.jpg
Poznań Piątkowo,os. Bolesława Chrobrego,2,49,525000,10714,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-poznan-piatkowo-os-boleslawa-chrobrego-2-pokojowe-g7a8t5,https://s2.adresowa.pl/oi/44/69/3f2b4a_4576_cover@2x-2-pokojowe-mieszkanie-poznan-piatkowo-os-boleslawa-chrobrego.webp
Poznań Stare Miasto,os. Powstańców Warszawy,3,63,628000,9968,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-poznan-stare-miasto-os-powstancow-warszawy-3-pokojowe-z9m8n7,https://s2.adresowa.pl/oi/2d/27/3f2334_ab99_cover@2x-3-pokojowe-mieszkanie-poznan-stare-miasto-os-powstancow-warszawy.webp
Poznań Nadolnik,ul. Nadolnik,1,19,260000,13684,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-poznan-nadolnik-ul-nadolnik-1-pokoj-z3s4h0,https://s2.adresowa.pl/oi/1e/26/3fa5d8_f8ac_cover@2x-1-pokojowe-mieszkanie-poznan-nadolnik-ul-nadolnik.webp
Poznań Junikowo,ul. Jeleniogórska,2,43,640000,14884,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-poznan-junikowo-ul-jeleniogorska-2-pokojowe-h8e7d4,https://s2.adresowa.pl/oi/1c/72/3fa588_6b6f_cover@2x-2-pokojowe-mieszkanie-poznan-junikowo-ul-jeleniogorska.webp
Poznań,ul. Królowej Jadwigi,5,103,zapytaj,,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-5-pokojowe-t4b4z2,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań Dębiec,ul. Akacjowa,3,62,519000,8371,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-poznan-debiec-ul-akacjowa-3-pokojowe-r2u8f2,https://s2.adresowa.pl/oi/40/45/3f175e_c21b_cover@2x-3-pokojowe-mieszkanie-poznan-debiec-ul-akacjowa.webp
Poznań Centrum,ul. św. Marcin,2,40,499000,12475,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-poznan-centrum-ul-sw-marcin-2-pokojowe-x8r3m1,https://s2.adresowa.pl/oi/4b/3b/3f1366_9012_cover@2x-2-pokojowe-mieszkanie-poznan-centrum-ul-sw-marcin.webp
Poznań Jeżyce,ul. Golęcińska,2,47,550000,11702,bez pośredników,,21,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-golecinska-2-pokojowe-q7k1r1,https://s2.adresowa.pl/oi/5c/51/3fa584_e42a_cover@2x-2-pokojowe-mieszkanie-poznan-jezyce-ul-golecinska.webp
Poznań Winogrady,os. Wichrowe Wzgórze,2,47,515000,10957,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-wichrowe-wzgorze-2-pokojowe-a4m2h5,https://s2.adresowa.pl/oi/1a/7b/3fa28a_855f_cover@2x-2-pokojowe-mieszkanie-poznan-winogrady-os-wichrowe-wzgorze.webp
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,5,121,zapytaj,,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-5-pokojowe-h0w8e3,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-f918_cover.jpg
Poznań Nowe Miasto,ul. Helska,4,109,1149000,10541,Pośrednik,,26,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-helska-4-pokojowe-k7i6f8,https://s2.adresowa.pl/oi/56/7e/3f1154_2e90_cover@2x-4-pokojowe-mieszkanie-poznan-nowe-miasto-ul-helska.webp
Poznań Rataje,ul. Polanka,2,59,739000,12525,Pośrednik,,25,https://adresowo.pl/o/mieszkanie-poznan-rataje-ul-polanka-2-pokojowe-h1q5x6,https://s2.adresowa.pl/oi/7a/74/3f0cbc_ab41_cover@2x-2-pokojowe-mieszkanie-poznan-rataje-ul-polanka.webp
Poznań Winiary,ul. św. Leonarda,1,31,440000,14194,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-winiary-ul-sw-leonarda-1-pokoj-m2j0f9,https://s2.adresowa.pl/oi/54/50/3fa1de_db79_cover@2x-1-pokojowe-mieszkanie-poznan-winiary-ul-sw-leonarda.webp
Poznań Ogrody,ul. Nowy Świat,4,61,850000,13934,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-poznan-ogrody-ul-nowy-swiat-4-pokojowe-b4e3v0,https://s2.adresowa.pl/oi/6c/29/3fa008_97a6_cover@2x-4-pokojowe-mieszkanie-poznan-ogrody-ul-nowy-swiat.webp
Poznań,ul. Królowej Jadwigi,6,118,zapytaj,,bez pośredników,,+1 podobna oferta,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-6-pokojowe-i1j2z0,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań Nadolnik,ul. Nadolnik 8,1,31,400000,12903,Pośrednik,,27,https://adresowo.pl/o/mieszkanie-poznan-nadolnik-ul-nadolnik-1-pokoj-w1k7g8,https://s2.adresowa.pl/oi/37/71/3f0cbe_bdab_cover@2x-1-pokojowe-mieszkanie-poznan-nadolnik-ul-nadolnik.webp
Poznań Wilda,ul. Jana Kilińskiego,2,61,928568,15222,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-jana-kilinskiego-2-pokojowe-k6u7m5,https://s2.adresowa.pl/oi/6a/6f/3f0054_a938_cover@2x-2-pokojowe-mieszkanie-poznan-wilda-ul-jana-kilinskiego.webp
