locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Wrocław Krzyki,ul. Edmunda Kajdasza,2,46,700000,15217,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-edmunda-kajdasza-2-pokojowe-u5b9w9,https://s2.adresowa.pl/oi/13/63/400b76_4c71_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-edmunda-kajdasza.webp
Wrocław Stare Miasto,pl. Legionów,2,39,799000,20487,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-pl-legionow-2-pokojowe-z6x9i7,https://s2.adresowa.pl/oi/5b/20/400b48_d80e_cover@2x-2-pokojowe-mieszkanie-wroclaw-stare-miasto-pl-legionow.webp
Wrocław Złotniki,ul. Podhalańska,2,35,zapytaj,,bez pośredników,,+59 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-zlotniki-ul-podhalanska-2-pokojowe-t9d9h3,https://s2.adresowa.pl/development/672394/nowe-mieszkania-podhalanska-vita-89e3_cover.jpg
Wrocław Wojnów,ul. Gitarowa,4,85,799000,9400,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-wroclaw-wojnow-ul-gitarowa-4-pokojowe-v6y5o9,https://s2.adresowa.pl/oi/40/64/400d2c_2817_cover@2x-4-pokojowe-mieszkanie-wroclaw-wojnow-ul-gitarowa.webp
Wrocław Pilczyce,ul. Pilczycka,2,37,369999,10000,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-wroclaw-pilczyce-ul-pilczycka-2-pokojowe-y0n8t1,https://s2.adresowa.pl/oi/24/49/400d00_49ed_cover@2x-2-pokojowe-mieszkanie-wroclaw-pilczyce-ul-pilczycka.webp
Wrocław Śródmieście,ul. Stefana Jaracza,3,69,1150000,16667,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-stefana-jaracza-3-pokojowe-c1p6h2,https://s2.adresowa.pl/oi/5d/2f/400b3e_d856_cover@2x-3-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-stefana-jaracza.webp
Wrocław Psie Pole,ul. Ramiszowska,2,46,739000,16065,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-ramiszowska-2-pokojowe-n5a4k6,https://s2.adresowa.pl/oi/4f/5d/400a0a_65fa_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-ramiszowska.webp
Wrocław Popowice,ul. Legnicka,2,41,zapytaj,,bez pośredników,,+8 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-legnicka-2-pokojowe-i5m5p2,https://s2.adresowa.pl/development/671236/nowe-mieszkania-legnicka-vita-790c_cover.jpg
Wrocław Huby,ul. Kamienna 110,3,64,635000,9922,Pośrednik,,28,https://adresowo.pl/o/mieszkanie-wroclaw-huby-ul-kamienna-3-pokojowe-x2h0b1,https://s2.adresowa.pl/oi/38/32/400612_b361_cover@2x-3-pokojowe-mieszkanie-wroclaw-huby-ul-kamienna.webp
Wrocław Krzyki,ul. Zwycięska,2,51,590000,11569,Pośrednik,,23,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-zwycieska-2-pokojowe-m3e2j0,https://s2.adresowa.pl/oi/4b/7f/400608_eddc_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-zwycieska.webp
Wrocław Krzyki,ul. Rodzinna,2,49,737250,15046,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-rodzinna-2-pokojowe-b3d2j4,https://s2.adresowa.pl/oi/24/34/40086c_2c9e_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-rodzinna.webp
Wrocław Żerniki,ul. Tadeusza Brzozy,2,41,zapytaj,,bez pośredników,,+102 podobne oferty,https://adresowo.pl/o/mieszkanie-wroclaw-zerniki-ul-tadeusza-brzozy-2-pokojowe-f7y5a7,https://s2.adresowa.pl/development/671228/nowe-mieszkania-wuwa-vita-3cce_cover.jpg
Wrocław Krzyki,al. gen. Józefa Hallera,2,39,979000,25103,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-al-gen-jozefa-hallera-2-pokojowe-l7u2m5,https://s2.adresowa.pl/oi/38/38/400340_d570_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-al-gen-jozefa-hallera.webp
Wrocław Tarnogaj,ul. Tarnogajska,2,57,656640,11520,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-tarnogajska-2-pokojowe-m4i0c5,https://s2.adresowa.pl/oi/33/33/400316_b7c4_cover@2x-2-pokojowe-mieszkanie-wroclaw-tarnogaj-ul-tarnogajska.webp
Wrocław Fabryczna,ul. Buczacka,3,75,785000,10467,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-buczacka-3-pokojowe-u9y2j9,https://s2.adresowa.pl/oi/69/74/3eb1c4_9b92_cover@2x-3-pokojowe-mieszkanie-wroclaw-fabryczna-ul-buczacka.webp
Wrocław Psie Pole,ul. Władysława Reymonta,2,41,699000,17049,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-wladyslawa-reymonta-2-pokojowe-l8x7b9,https://s2.adresowa.pl/oi/28/1f/400842_856b_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-wladyslawa-reymonta.webp
Wrocław Gądów Mały,ul. Ludwika Idzikowskiego,3,61,744200,12200,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-wroclaw-gadow-maly-ul-ludwika-idzikowskiego-3-pokojowe-l9l7a3,https://s2.adresowa.pl/oi/62/62/4006d0_4e2e_cover@2x-3-pokojowe-mieszkanie-wroclaw-gadow-maly-ul-ludwika-idzikowskiego.webp
Wrocław Tarnogaj,ul. Piękna,2,43,zapytaj,,bez pośredników,,+24 podobne oferty,https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-piekna-2-pokojowe-a9q2h3,https://s2.adresowa.pl/development/671658/nowe-mieszkania-piekna-vita-647d_cover.jpg
Wrocław Śródmieście,ul. Ładna,2,45,619000,13756,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-ladna-2-pokojowe-z6x2l6,https://s2.adresowa.pl/oi/3e/25/3ffd1c_aa25_cover@2x-2-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-ladna.webp
Wrocław Śródmieście,ul. Wygodna,3,53,649000,12245,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-wygodna-3-pokojowe-o2s8g9,https://s2.adresowa.pl/oi/67/38/3ffd06_9d8f_cover@2x-3-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-wygodna.webp
Wrocław Stare Miasto,ul. Kuźnicza,2,36,670000,18611,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-kuznicza-2-pokojowe-w7k6j3,https://s2.adresowa.pl/oi/2a/24/400644_4282_cover@2x-2-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-kuznicza.webp
Wrocław,Stare Miasto,1,31,620000,20000,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-1-pokoj-31-m2-m2k2l0,https://s2.adresowa.pl/oi/42/69/40052a_c246_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto.webp
Wrocław Krzyki,ul. Międzyleska,2,49,zapytaj,,bez pośredników,,+88 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-miedzyleska-2-pokojowe-v0e7m7,https://s2.adresowa.pl/development/671806/nowe-mieszkania-przy-parku-vita-ecd7_cover.jpg
Wrocław Tarnogaj,ul. Gazowa,3,49,749000,15286,Pośrednik,,25,https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-gazowa-3-pokojowe-u2d2f0,https://s2.adresowa.pl/oi/68/57/3ffb12_5855_cover@2x-3-pokojowe-mieszkanie-wroclaw-tarnogaj-ul-gazowa.webp
Wrocław,,2,34,525000,15441,Pośrednik,,5,https://adresowo.pl/o/mieszkanie-wroclaw-2-pokojowe-34-m2-q3r4x6,https://s2.adresowa.pl/oi/51/24/3ffa24_2c93_cover@2x-2-pokojowe-mieszkanie-wroclaw.webp
Wrocław Stare Miasto,ul. Ptasia,1,30,599000,19967,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-ptasia-1-pokoj-r3j4y9,https://s2.adresowa.pl/oi/7d/51/400522_ea24_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-ptasia.webp
Wrocław Nowy Dwór,ul. Budziszyńska,2,54,530000,9815,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-wroclaw-nowy-dwor-ul-budziszynska-2-pokojowe-f3c1f0,https://s2.adresowa.pl/oi/5d/5b/4003e6_79ca_cover@2x-2-pokojowe-mieszkanie-wroclaw-nowy-dwor-ul-budziszynska.webp
Wrocław Pilczyce,ul. Pilczycka,2,48,zapytaj,,bez pośredników,,+77 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-pilczyce-ul-pilczycka-2-pokojowe-c0k1f1,https://s2.adresowa.pl/development/673044/nowe-mieszkania-pilczycka-vita-a532_cover.jpg
Wrocław Sępolno,ul. Stefana Okrzei,3,52,599000,11519,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-wroclaw-sepolno-ul-stefana-okrzei-3-pokojowe-c3h3t5,https://s2.adresowa.pl/oi/4a/61/3ff46e_ce82_cover@2x-3-pokojowe-mieszkanie-wroclaw-sepolno-ul-stefana-okrzei.webp
Wrocław Złotniki,ul. Złotnicka,2,35,525000,15000,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-wroclaw-zlotniki-ul-zlotnicka-2-pokojowe-c7j4p5,https://s2.adresowa.pl/oi/39/1e/3ff46c_b796_cover@2x-2-pokojowe-mieszkanie-wroclaw-zlotniki-ul-zlotnicka.webp
Wrocław Śródmieście,ul. Władysława Łokietka,2,86,1089000,12663,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-wladyslawa-lokietka-2-pokojowe-l2s1u2,https://s2.adresowa.pl/oi/17/2d/40034e_455d_cover@2x-2-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-wladyslawa-lokietka.webp
Wrocław Psie Pole,ul. Obornicka,3,61,1050000,17213,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-obornicka-3-pokojowe-i8o6a9,https://s2.adresowa.pl/oi/6e/35/40031a_2b50_cover@2x-3-pokojowe-mieszkanie-wroclaw-psie-pole-ul-obornicka.webp
Wrocław Złotniki,ul. Podhalańska,3,61,zapytaj,,bez pośredników,,+71 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-zlotniki-ul-podhalanska-3-pokojowe-n7q4t9,https://s2.adresowa.pl/development/672394/nowe-mieszkania-podhalanska-vita-89e3_cover.jpg
Wrocław Psie Pole,ul. Bolesława Krzywoustego,1,32,389000,12156,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-boleslawa-krzywoustego-1-pokoj-j5c3y1,https://s2.adresowa.pl/oi/55/52/3ff44a_c329_cover@2x-1-pokojowe-mieszkanie-wroclaw-psie-pole-ul-boleslawa-krzywoustego.webp
Wrocław Fabryczna,ul. Stefana Drzewieckiego,4,73,789000,10808,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-stefana-drzewieckiego-4-pokojowe-q5r3t5,https://s2.adresowa.pl/oi/56/15/3ff448_7953_cover@2x-4-pokojowe-mieszkanie-wroclaw-fabryczna-ul-stefana-drzewieckiego.webp
Wrocław Psie Pole,ul. Grodzieńska,3,61,900000,14754,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-grodzienska-3-pokojowe-z3v9e5,https://s2.adresowa.pl/oi/7e/32/40027c_b4b9_cover@2x-3-pokojowe-mieszkanie-wroclaw-psie-pole-ul-grodzienska.webp
Wrocław Stare Miasto,ul. Sądowa,3,56,685000,12232,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-sadowa-3-pokojowe-f0n7l4,https://s2.adresowa.pl/oi/6d/47/40028e_e727_cover@2x-3-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-sadowa.webp
Wrocław Popowice,ul. Legnicka,3,61,zapytaj,,bez pośredników,,+20 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-legnicka-3-pokojowe-g8a6f8,https://s2.adresowa.pl/development/671236/nowe-mieszkania-legnicka-vita-790c_cover.jpg
Wrocław Psie Pole,ul. Gitarowa,3,45,539000,11978,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-gitarowa-3-pokojowe-j9m2h9,https://s2.adresowa.pl/oi/43/23/3ff43a_58a1_cover@2x-3-pokojowe-mieszkanie-wroclaw-psie-pole-ul-gitarowa.webp
Wrocław Krzyki,ul. gen. Tadeusza Kutrzeby,3,55,645000,11727,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-gen-tadeusza-kutrzeby-3-pokojowe-f7u9o1,https://s2.adresowa.pl/oi/17/79/3fed40_452b_cover@2x-3-pokojowe-mieszkanie-wroclaw-krzyki-ul-gen-tadeusza-kutrzeby.webp
Wrocław Polanowice,ul. Hugona Kowarzyka,2,44,650000,14773,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-wroclaw-polanowice-ul-hugona-kowarzyka-2-pokojowe-j5w6l1,https://s2.adresowa.pl/oi/41/26/400252_6575_cover@2x-2-pokojowe-mieszkanie-wroclaw-polanowice-ul-hugona-kowarzyka.webp
Wrocław Maślice,ul. Augustowska,1,28,420000,15000,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-wroclaw-maslice-ul-augustowska-1-pokoj-q8q7d9,https://s2.adresowa.pl/oi/36/60/40014a_8cd9_cover@2x-1-pokojowe-mieszkanie-wroclaw-maslice-ul-augustowska.webp
Wrocław Pilczyce,ul. Pilczycka,3,60,zapytaj,,bez pośredników,,+47 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-pilczyce-ul-pilczycka-3-pokojowe-k1o1e5,https://s2.adresowa.pl/development/673044/nowe-mieszkania-pilczycka-vita-a532_cover.jpg
Wrocław Stare Miasto,pl. gen. Walerego Wróblewskiego,1,33,678000,20545,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-pl-gen-walerego-wroblewskiego-1-pokoj-t4n0v8,https://s2.adresowa.pl/oi/24/65/3fed20_9f86_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-pl-gen-walerego-wroblewskiego.webp
Wrocław Stare Miasto,pl. gen. Walerego Wróblewskiego,1,40,874905,21873,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-pl-gen-walerego-wroblewskiego-1-pokoj-l8d2d1,https://s2.adresowa.pl/oi/73/55/3fed1e_aa50_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-pl-gen-walerego-wroblewskiego.webp
Wrocław Oporów,ul. Ibn Siny Awicenny,4,67,1195000,17836,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-wroclaw-oporow-ul-ibn-siny-awicenny-4-pokojowe-g1p1n0,https://s2.adresowa.pl/oi/18/62/400070_629b_cover@2x-4-pokojowe-mieszkanie-wroclaw-oporow-ul-ibn-siny-awicenny.webp
Wrocław Krzyki,ul. Szparagowa,2,52,689000,13250,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-szparagowa-2-pokojowe-a2n8t9,https://s2.adresowa.pl/oi/31/78/3fff34_558b_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-szparagowa.webp
Wrocław Tarnogaj,ul. Piękna,3,68,zapytaj,,bez pośredników,,+1 podobna oferta,https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-piekna-3-pokojowe-i1z3e2,https://s2.adresowa.pl/development/671658/nowe-mieszkania-piekna-vita-647d_cover.jpg
Wrocław Muchobór Wielki,ul. Żwirki i Wigury,2,49,758000,15469,Pośrednik,,29,https://adresowo.pl/o/mieszkanie-wroclaw-muchobor-wielki-ul-zwirki-i-wigury-2-pokojowe-g4s4v5,https://s2.adresowa.pl/oi/43/29/3fea22_2761_cover@2x-2-pokojowe-mieszkanie-wroclaw-muchobor-wielki-ul-zwirki-i-wigury.webp
Wrocław,ul. Słowiańska,1,27,280000,10370,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-wroclaw-ul-slowianska-1-pokoj-g7v7v1,https://s2.adresowa.pl/oi/2b/34/3fea18_3331_cover@2x-1-pokojowe-mieszkanie-wroclaw-ul-slowianska.webp
Wrocław Ołtaszyn,ul. Łubinowa,3,75,940000,12533,bez pośredników,,21,https://adresowo.pl/o/mieszkanie-wroclaw-oltaszyn-ul-lubinowa-3-pokojowe-l6i4t6,https://s2.adresowa.pl/oi/44/57/3ffe54_c48a_cover@2x-3-pokojowe-mieszkanie-wroclaw-oltaszyn-ul-lubinowa.webp
Wrocław Psie Pole,ul. Henryka Michała Kamieńskiego,1,27,399000,14778,bez pośredników,,2,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-henryka-michala-kamienskiego-1-pokoj-v3z8p0,https://s2.adresowa.pl/oi/50/35/3ffdf6_6469_cover@2x-1-pokojowe-mieszkanie-wroclaw-psie-pole-ul-henryka-michala-kamienskiego.webp
Wrocław Krzyki,ul. Międzyleska,3,64,zapytaj,,bez pośredników,,+56 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-miedzyleska-3-pokojowe-g3x0f1,https://s2.adresowa.pl/development/671806/nowe-mieszkania-przy-parku-vita-ecd7_cover.jpg
Wrocław Stare Miasto,ul. Zaporoska,3,61,680000,11148,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-zaporoska-3-pokojowe-u3w6x9,https://s2.adresowa.pl/oi/79/62/3fe9f6_9084_cover@2x-3-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-zaporoska.webp
Wrocław Stare Miasto,ul. gen. Władysława Sikorskiego,1,45,1324000,29422,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-gen-wladyslawa-sikorskiego-1-pokoj-o8k3c0,https://s2.adresowa.pl/oi/3f/5b/3fe718_6c8f_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-gen-wladyslawa-sikorskiego.webp
