locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków Prokocim,ul. Bieżanowska,3,89,1349638,15164,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-biezanowska-3-pokojowe-o1m2l6,https://s2.adresowa.pl/oi/33/50/3d298c_f10f_cover@2x-3-pokojowe-mieszkanie-krakow-prokocim-ul-biezanowska.webp
Kraków Prokocim,ul. Bieżanowska,2,49,785576,16032,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-biezanowska-2-pokojowe-e2x8v3,https://s2.adresowa.pl/oi/58/39/3d2980_939a_cover@2x-2-pokojowe-mieszkanie-krakow-prokocim-ul-biezanowska.webp
Kraków Krowodrza,ul. Wrocławska,2,42,1350000,32143,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-wroclawska-2-pokojowe-y1s2o3,https://s2.adresowa.pl/oi/61/31/3d228a_4687_cover@2x-2-pokojowe-mieszkanie-krakow-krowodrza-ul-wroclawska.webp
Kraków Ruczaj,ul. Raciborska,1,33,519000,15727,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-krakow-ruczaj-ul-raciborska-1-pokoj-h5y5b3,https://s2.adresowa.pl/oi/5d/45/3d2250_75d9_cover@2x-1-pokojowe-mieszkanie-krakow-ruczaj-ul-raciborska.webp
Kraków Krowodrza,ul. Żabiniec,2,53,zapytaj,,bez pośredników,,+41 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-2-pokojowe-w9l5q8,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Bieżanów,ul. Bieżanowska,2,45,722496,16055,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-biezanowska-2-pokojowe-q9n3w7,https://s2.adresowa.pl/oi/59/79/3d296c_fd60_cover@2x-2-pokojowe-mieszkanie-krakow-biezanow-ul-biezanowska.webp
Kraków Bieżanów,ul. Bieżanowska,2,38,619972,16315,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-biezanowska-2-pokojowe-k6u3b9,https://s2.adresowa.pl/oi/71/23/3d2948_3258_cover@2x-2-pokojowe-mieszkanie-krakow-biezanow-ul-biezanowska.webp
Kraków Podgórze,ul. Ignacego Krasickiego,2,40,845000,21125,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-ignacego-krasickiego-2-pokojowe-d8l3e7,https://s2.adresowa.pl/oi/7a/7a/3d218c_d5e6_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-ul-ignacego-krasickiego.webp
Kraków,Łagiewniki-Borek Fałęcki,3,83,1090000,13133,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-borek-falecki-3-pokojowe-83-m2-h6i5y5,https://s2.adresowa.pl/oi/13/6d/3d2182_7d41_cover@2x-3-pokojowe-mieszkanie-krakow-lagiewniki-borek-falecki.webp
Kraków Czyżyny,ul. Romana Ciesielskiego,2,45,zapytaj,,bez pośredników,,+127 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-2-pokojowe-c6y4r5,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Nowa Huta,os. Na Stoku,3,59,840000,14237,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-na-stoku-3-pokojowe-q5j1t5,https://s2.adresowa.pl/oi/15/21/3d2926_962e_cover@2x-3-pokojowe-mieszkanie-krakow-nowa-huta-os-na-stoku.webp
Kraków Podgórze Duchackie,ul. Jana Sas-Zubrzyckiego,2,49,595000,12143,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego-2-pokojowe-j3k6x0,https://s2.adresowa.pl/oi/2f/76/3d27cc_8641_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego.webp
Kraków Podgórze,ul. Myśliwska,2,41,800000,19512,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-mysliwska-2-pokojowe-b2z1i9,https://s2.adresowa.pl/oi/4e/35/3d2152_3406_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-ul-mysliwska.webp
Kraków Czyżyny,ul. Sołtysowska,3,48,750000,15625,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-soltysowska-3-pokojowe-w0q7s3,https://s2.adresowa.pl/oi/7b/3e/3d2140_faa0_cover@2x-3-pokojowe-mieszkanie-krakow-czyzyny-ul-soltysowska.webp
Kraków Płaszów,ul. Myśliwska,2,34,zapytaj,,bez pośredników,,+32 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mysliwska-2-pokojowe-y7o7x4,https://s2.adresowa.pl/development/671244/nowe-mieszkania-city-vibe-f7f8_cover.jpg
Kraków Podgórze Duchackie,ul. Włoska,2,48,750000,15625,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-wloska-2-pokojowe-e8y7v5,https://s2.adresowa.pl/oi/1f/1d/3d27ca_a27a_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-wloska.webp
Kraków Prądnik Biały,ul. Stanisława Przybyszewskiego,2,40,885000,22125,Pośrednik,,9,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-stanislawa-przybyszewskiego-2-pokojowe-u6g8l6,https://s2.adresowa.pl/oi/4f/72/3d2766_e26d_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-stanislawa-przybyszewskiego.webp
Kraków Prądnik Biały,ul. Kuźnicy Kołłątajowskiej,3,65,1180000,18154,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-kuznicy-kollatajowskiej-3-pokojowe-p4d5s2,https://s2.adresowa.pl/oi/7c/54/3d20b6_4fd0_cover@2x-3-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-kuznicy-kollatajowskiej.webp
Kraków Wesoła,ul. Hugona Kołłątaja,3,81,1860000,22963,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-krakow-wesola-ul-hugona-kollataja-3-pokojowe-m0h7a4,https://s2.adresowa.pl/oi/2d/14/3d2076_3d0b_cover@2x-3-pokojowe-mieszkanie-krakow-wesola-ul-hugona-kollataja.webp
Kraków Płaszów,ul. Myśliwska,3,53,zapytaj,,bez pośredników,,+4 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mysliwska-3-pokojowe-x3d0u1,https://s2.adresowa.pl/development/671244/nowe-mieszkania-city-vibe-f7f8_cover.jpg
Kraków Podgórze Duchackie,ul. Estońska,3,53,615000,11604,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-estonska-3-pokojowe-s6b1g0,https://s2.adresowa.pl/oi/6f/17/3d271a_3e39_cover@2x-3-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-estonska.webp
Kraków Podgórze Duchackie,ul. Sebastiana Klonowica,2,41,699000,17049,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-sebastiana-klonowica-2-pokojowe-j3v5u7,https://s2.adresowa.pl/oi/6e/25/3d2708_ce90_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-sebastiana-klonowica.webp
Kraków Bieżanów,ul. Henryka i Karola Czeczów,3,58,799000,13776,bez pośredników,,28,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-3-pokojowe-b3g6r0,https://s2.adresowa.pl/oi/53/6a/3d1de4_c421_cover@2x-3-pokojowe-mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow.webp
Kraków Bieżanów,ul. Henryka i Karola Czeczów,3,59,zapytaj,,bez pośredników,,+16 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-3-pokojowe-x6w7l4,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
Kraków Bieżanów,ul. Mieczysławy Ćwiklińskiej,1,28,420000,15000,Pośrednik,,5,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-mieczyslawy-cwiklinskiej-1-pokoj-g8p5a1,https://s2.adresowa.pl/oi/62/65/3d230a_6aef_cover@2x-1-pokojowe-mieszkanie-krakow-biezanow-ul-mieczyslawy-cwiklinskiej.webp
Kraków Grzegórzki,ul. Mogilska,2,48,750000,15625,Pośrednik,,21,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-mogilska-2-pokojowe-h7y2x9,https://s2.adresowa.pl/oi/33/7d/3d2234_355f_cover@2x-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-mogilska.webp
Kraków Czyżyny,ul. Sołtysowska,3,58,934500,16112,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-soltysowska-3-pokojowe-u6h6d1,https://s2.adresowa.pl/oi/4a/29/3ca294_3893_cover@2x-3-pokojowe-mieszkanie-krakow-czyzyny-ul-soltysowska.webp
Kraków Podgórze,ul. Wielicka,2,55,1049000,19073,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-wielicka-2-pokojowe-b4d7n7,https://s2.adresowa.pl/oi/17/2c/3d1ddc_f977_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-ul-wielicka.webp
Kraków,Stare Miasto,4,112,2240000,20000,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-4-pokojowe-112-m2-h7v3y8,https://s2.adresowa.pl/oi/6f/6b/3d1d82_5074_cover@2x-4-pokojowe-mieszkanie-krakow-stare-miasto.webp
Kraków Krowodrza,ul. Żabiniec,3,60,zapytaj,,bez pośredników,,+10 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-3-pokojowe-e8v4i6,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Krowodrza,al. Kijowska,4,68,1749000,25721,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-al-kijowska-4-pokojowe-k7y5x1,https://s2.adresowa.pl/oi/41/24/3d1f22_f667_cover@2x-4-pokojowe-mieszkanie-krakow-krowodrza-al-kijowska.webp
Kraków Bieńczyce,os. Albertyńskie,2,37,475000,12838,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-os-albertynskie-2-pokojowe-k7v8a4,https://s2.adresowa.pl/oi/67/74/3d1eb6_daab_cover@2x-2-pokojowe-mieszkanie-krakow-bienczyce-os-albertynskie.webp
Kraków Dębniki,ul. Lubostroń,1,31,497900,16061,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-lubostron-1-pokoj-x7h0t5,https://s2.adresowa.pl/oi/62/5e/3d1c14_3c74_cover@2x-1-pokojowe-mieszkanie-krakow-debniki-ul-lubostron.webp
Kraków Ruczaj,ul. dr. Jana Piltza,3,49,790000,16122,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-krakow-ruczaj-ul-dr-jana-piltza-3-pokojowe-j5v5j2,https://s2.adresowa.pl/oi/7e/7b/3d1c12_d430_cover@2x-3-pokojowe-mieszkanie-krakow-ruczaj-ul-dr-jana-piltza.webp
Kraków Czyżyny,ul. Romana Ciesielskiego,3,54,zapytaj,,bez pośredników,,+67 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-3-pokojowe-w5h8o0,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Wola Justowska,ul. Morelowa,5,137,2000000,14599,Pośrednik,,36,https://adresowo.pl/o/mieszkanie-krakow-wola-justowska-ul-morelowa-5-pokojowe-t1f8u6,https://s2.adresowa.pl/oi/21/29/3d1e7c_99a8_cover@2x-5-pokojowe-mieszkanie-krakow-wola-justowska-ul-morelowa.webp
Kraków Bieńczyce,os. Kalinowe,2,46,611000,13283,Pośrednik,,40,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-os-kalinowe-2-pokojowe-n4i4h1,https://s2.adresowa.pl/oi/5f/28/3d133a_cc1e_cover@2x-2-pokojowe-mieszkanie-krakow-bienczyce-os-kalinowe.webp
Kraków Nowa Huta,os. Urocze,2,49,633000,12918,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-urocze-2-pokojowe-l4b3e8,https://s2.adresowa.pl/oi/59/2f/3d1bfc_7ce5_cover@2x-2-pokojowe-mieszkanie-krakow-nowa-huta-os-urocze.webp
Kraków Bieżanów,ul. Telimeny,1,27,420000,15556,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-telimeny-1-pokoj-e5u3t6,https://s2.adresowa.pl/oi/38/58/3d1a9a_8b63_cover@2x-1-pokojowe-mieszkanie-krakow-biezanow-ul-telimeny.webp
Kraków Czyżyny,ul. Romana Ciesielskiego,1,33,zapytaj,,bez pośredników,,+63 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-1-pokoj-p4m7s2,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków,Stare Miasto,1,35,598000,17086,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-1-pokoj-35-m2-q2s7x9,https://s2.adresowa.pl/oi/75/7a/3d12f4_f003_cover@2x-1-pokojowe-mieszkanie-krakow-stare-miasto.webp
Kraków Bieżanów,ul. Henryka Hoyera,7,91,1198000,13165,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-hoyera-7-pokojowe-o3q7b5,https://s2.adresowa.pl/oi/33/66/3d12f2_f659_cover@2x-7-pokojowe-mieszkanie-krakow-biezanow-ul-henryka-hoyera.webp
Kraków Kliny,ul. bpa Albina Małysiaka,3,51,880000,17255,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-krakow-kliny-ul-bpa-albina-malysiaka-3-pokojowe-e0y8y4,https://s2.adresowa.pl/oi/27/65/3d19fc_ccd2_cover@2x-3-pokojowe-mieszkanie-krakow-kliny-ul-bpa-albina-malysiaka.webp
Kraków Nowa Huta,os. Kolorowe,2,50,725000,14500,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-kolorowe-2-pokojowe-x2l1k5,https://s2.adresowa.pl/oi/38/33/3d1860_d882_cover@2x-2-pokojowe-mieszkanie-krakow-nowa-huta-os-kolorowe.webp
Kraków Krowodrza,ul. Żabiniec,1,33,zapytaj,,bez pośredników,,+23 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-1-pokoj-q4c6b1,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Mistrzejowice,os. Piastów,2,48,669000,13938,Pośrednik,,24,https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-piastow-2-pokojowe-y9g5g7,https://s2.adresowa.pl/oi/17/23/3d12f0_de16_cover@2x-2-pokojowe-mieszkanie-krakow-mistrzejowice-os-piastow.webp
Kraków Krowodrza,ul. Eljasza Walerego Radzikowskiego,2,37,650000,17568,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-eljasza-walerego-radzikowskiego-2-pokojowe-g7o6i0,https://s2.adresowa.pl/oi/60/6a/3d123c_a1e4_cover@2x-2-pokojowe-mieszkanie-krakow-krowodrza-ul-eljasza-walerego-radzikowskiego.webp
Kraków Podgórze Duchackie,ul. Sebastiana Klonowica,4,63,1233570,19580,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-sebastiana-klonowica-4-pokojowe-q2f6s6,https://s2.adresowa.pl/oi/53/6a/3d184e_731a_cover@2x-4-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-sebastiana-klonowica.webp
Kraków Prądnik Czerwony,ul. Mieczysława Pszona,2,41,610000,14878,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-mieczyslawa-pszona-2-pokojowe-u4r3w3,https://s2.adresowa.pl/oi/56/47/3d1828_a614_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-czerwony-ul-mieczyslawa-pszona.webp
Kraków Krowodrza,ul. Żabiniec,4,80,zapytaj,,bez pośredników,,+5 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-4-pokojowe-n0x0r3,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Grzegórzki,ul. Bajeczna,2,38,598000,15737,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-bajeczna-2-pokojowe-c0r5r6,https://s2.adresowa.pl/oi/79/2a/3d1218_cef2_cover@2x-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-bajeczna.webp
Kraków Podgórze Duchackie,ul. Jana Sas-Zubrzyckiego,4,76,1100000,14474,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego-4-pokojowe-m7u8w4,https://s2.adresowa.pl/oi/7e/6a/3d0d26_e6ac_cover@2x-4-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego.webp
Kraków Ruczaj,ul. Zygmunta Miłkowskiego,2,33,558000,16909,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-ruczaj-ul-zygmunta-milkowskiego-2-pokojowe-s4m4z4,https://s2.adresowa.pl/oi/3e/65/3d178e_60a4_cover@2x-2-pokojowe-mieszkanie-krakow-ruczaj-ul-zygmunta-milkowskiego.webp
Kraków Czyżyny,ul. Sołtysowska,2,42,699000,16643,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-soltysowska-2-pokojowe-o5d9n1,https://s2.adresowa.pl/oi/20/56/3d1598_9b1f_cover@2x-2-pokojowe-mieszkanie-krakow-czyzyny-ul-soltysowska.webp
Kraków Bieżanów,ul. Henryka i Karola Czeczów,4,82,zapytaj,,bez pośredników,,+19 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-4-pokojowe-g2i1m0,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
Kraków Bieńczyce,os. Kalinowe,2,36,480000,13333,Pośrednik,,29,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-os-kalinowe-2-pokojowe-w1t9k9,https://s2.adresowa.pl/oi/58/30/3d0cce_880b_cover@2x-2-pokojowe-mieszkanie-krakow-bienczyce-os-kalinowe.webp
Kraków Krowodrza,ul. Kronikarza Galla,2,39,699000,17923,Pośrednik,,29,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-kronikarza-galla-2-pokojowe-b0g3q9,https://s2.adresowa.pl/oi/58/47/3d0c90_32ed_cover@2x-2-pokojowe-mieszkanie-krakow-krowodrza-ul-kronikarza-galla.webp
Kraków Bieżanów,ul. Aleksandry,2,35,589000,16829,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-aleksandry-2-pokojowe-u8q9s7,https://s2.adresowa.pl/oi/3d/1f/3d151e_d5fd_cover@2x-2-pokojowe-mieszkanie-krakow-biezanow-ul-aleksandry.webp
Kraków,Prądnik Czerwony,2,31,596000,19226,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-2-pokojowe-31-m2-q2z2c9,https://s2.adresowa.pl/oi/66/74/3d1194_ed12_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-czerwony.webp
Kraków Czyżyny,ul. Romana Ciesielskiego,4,81,zapytaj,,bez pośredników,,+44 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-4-pokojowe-y6o3a3,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Łagiewniki,ul. Cechowa,5,90,1015392,11282,Pośrednik,,30,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-ul-cechowa-5-pokojowe-m1b1y9,https://s2.adresowa.pl/oi/48/6d/3d071a_e161_cover@2x-5-pokojowe-mieszkanie-krakow-lagiewniki-ul-cechowa.webp
Kraków Górka Narodowa,ul. abp. Zygmunta Szczęsnego Felińskiego,2,55,819000,14891,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-krakow-gorka-narodowa-ul-abp-zygmunta-szczesnego-felinskiego-2-pokojowe-q9a0p3,https://s2.adresowa.pl/oi/64/56/3d0712_3274_cover@2x-2-pokojowe-mieszkanie-krakow-gorka-narodowa-ul-abp-zygmunta-szczesnego-felinskiego.webp
Kraków Nowa Huta,os. Kolorowe,1,33,500000,15152,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-kolorowe-1-pokoj-c9z4g6,https://s2.adresowa.pl/oi/7e/79/3d10c0_a5dc_cover@2x-1-pokojowe-mieszkanie-krakow-nowa-huta-os-kolorowe.webp
Kraków Mistrzejowice,os. Oświecenia,3,64,740000,11562,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-oswiecenia-3-pokojowe-t0z6r9,https://s2.adresowa.pl/oi/17/72/3d1074_5247_cover@2x-3-pokojowe-mieszkanie-krakow-mistrzejowice-os-oswiecenia.webp
Kraków Bronowice,ul. Stanisława Przybyszewskiego,2,40,980000,24500,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-bronowice-ul-stanislawa-przybyszewskiego-2-pokojowe-u1b5y6,https://s2.adresowa.pl/oi/42/41/3d100a_58ae_cover@2x-2-pokojowe-mieszkanie-krakow-bronowice-ul-stanislawa-przybyszewskiego.webp
Kraków Krowodrza,ul. Józefa Wybickiego,2,38,680000,17895,Pośrednik,,4,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego-2-pokojowe-b9f8a7,https://s2.adresowa.pl/oi/41/72/3d0710_44ce_cover@2x-2-pokojowe-mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego.webp
Kraków Zwierzyniec,ul. Emaus,4,89,2173826,24425,Pośrednik,,3,https://adresowo.pl/o/mieszkanie-krakow-zwierzyniec-ul-emaus-4-pokojowe-e9z5n5,https://s2.adresowa.pl/oi/71/24/3d0708_e6e1_cover@2x-4-pokojowe-mieszkanie-krakow-zwierzyniec-ul-emaus.webp
